message	phishing
Tu pedido ha sido enviado. Aquí tienes el número de seguimiento.	0
¡Gracias por compartir ese video en Gmail! Me hizo reír mucho	0
¡Hola! Estamos realizando una encuesta en Fibertel y te hemos seleccionado. Confirma tus detalles para completarla y podrías ganar un premio	1
¡Hola! ¿Cómo estuvo tu día?	0
Oye, perdí mi teléfono y tuve que conseguir uno nuevo. ¿Podemos ponernos al día mañana?	0
Hola, hemos notado algo extraño en tu cuenta de Tu banco. ¿Fuiste tú? Si no, Haz clic aquí para protegerte	1
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Haz clic inmediatamente	1
Conozco a alguien que te podría ayudar con ese trámite. Habla con Diego en @otrousuarioInstagram	1
Alguien está difundiendo rumores sobre ti en Whatsapp. Visita este enlace para ver lo que están diciendo	1
Estoy pensando en probar Facebook. ¿Tienes alguna recomendación o consejo al respecto?	0
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Whatsapp y me alegró el día	0
Tengo algunas recomendaciones de la última película que te podrían interesar. ¿Te las envío?	0
Tu factura está pendiente. Ingresa tus datos de pago aquí para evitar cargos adicionales.	1
¡Gracias por compartir ese video en Gmail! Me hizo reír mucho	0
¿Quieres salir a cenar esta noche?	0
Vi una publicación sobre la última película en Gmail y pensé que podrías encontrarla interesante	0
Alguien está difundiendo rumores sobre ti en Gmail. Sigue este enlace para ver lo que están diciendo	1
Para evitar cargos adicionales en Facebook, te recomendamos Ingresa tus datos en el enlace adjunto	1
¡Felicidades! Ganaste un premio exclusivo. Visita este enlace para obtenerlo. Asegúrate de estar en el sitio oficial	1
Oye, ¿todavía tienes esos boletos para el evento en Banco Nación?	0
El envío de tu pedido número de teléfono. ¡Gracias por elegirnos!	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Banco Nación?	0
Tu pago ha sido rechazado. Ingresa tus datos aquí para procesarlo nuevamente.	1
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Facebook.	0
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Visita este enlace si estás interesado	1
¡Gran noticia! Tenemos un ¡Última oportunidad! solo para ti. Visita este enlace para aprovecharlo	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
¡Alerta de seguridad! Verifica tu cuenta ahora para evitar el acceso no autorizado. Haz clic aquí.	1
Tu tarjeta de crédito ha sido actualizada. Gracias por la información.	0
Completa esta encuesta y gana una tarjeta de regalo de $100. Haz clic aquí.	1
María ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en +54911XXXXXXX	1
Leí algo sorprendente sobre un tema que te podría interesar. Sigue este enlace para descubrir si es real o no	1
¡Gracias por recomendarme Amazon! Ha sido de gran ayuda para mi trabajo	0
¡Gracias por compartir ese video en Gmail! Me hizo reír mucho	0
Recibí tu mensaje sobre la membresía. Lo revisaré y te responderé pronto	0
La película comienza a las 7 p. m. ¿Te veré allí?	0
¡Advertencia! Tu cuenta será cerrada si no verificas tu identidad ahora. Haz clic aquí.	1
Desde que descubrí este negocio, mi vida cambió. Contáctame si quieres saber más	1
¡Genial! Tienes un bono de $500 esperando por ti. Regístrate ahora para obtenerlo	1
Hola, soy yo, Diego. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
Recibí tu invitación para el evento en Amazon. ¡Gracias! Confirmaré mi asistencia pronto	0
Recibimos una notificación de que Whatsapp necesita una actualización. Visita este enlace para asegurarte de que todo funcione correctamente	1
Por tu seguridad, hemos detectado una actividad sospechosa. Confirma tus detalles para verificar	1
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Sigue este enlace para saber cómo	1
¿Viste el último episodio de esa serie en Fibertel? No puedo creer lo que pasó	0
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Visita este enlace para unirte a nuestro grupo	1
¡Buenas noticias! ¡Oportunidad única!. Si te interesa, Verifica tu identidad aquí	1
Hola, parece que tienes una factura pendiente con Banco Nación. Haz clic aquí para ver los detalles	1
¡Oferta por tiempo limitado! Compra ahora y obtén envío gratis. Haz clic aquí.	1
Tu hijo ha sido aceptado en la universidad de su elección. ¡Estamos muy orgullosos!	0
¡Hola! Soy yo, Fernando. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Confirma tus detalles si estás interesado	1
Oye, ¿todavía tienes esos boletos para el evento en X?	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Ingresa tus datos. Es más fácil de lo que piensas	1
Sofía ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en @otrousuarioInstagram	1
Has sido seleccionado para recibir un regalo gratuito. Haz clic aquí para reclamarlo.	1
Tu vuelo ha sido reservado y pagado. Aquí tienes los detalles.	0
¡Enhorabuena! Has sido seleccionado para una ¡Oportunidad única!. Haz clic para más detalles	1
¡Felicidades! Ganaste un premio exclusivo. Visita este enlace para obtenerlo. Asegúrate de estar en el sitio oficial	1
¡Hola! Soy el asistente virtual de Facebook. Parece que hay un pequeño problema con tu cuenta. Confirma tus detalles para que te ayude	1
Oye, ¿todavía tienes esos boletos para el evento en Gmail?	0
Estoy pensando en probar Fibertel. ¿Tienes alguna recomendación o consejo al respecto?	0
Recuerda enviar esos documentos para la próxima reunión en Tu banco. ¡Gracias!	0
Tu cuenta está en riesgo de ser suspendida. Ingresa tus detalles aquí para verificarla.	1
¡Genial! Tienes un bono de $50 esperando por ti. Ingresa tus datos para obtenerlo	1
Oye, ¿todavía tienes esos boletos para el evento en Gmail?	0
Si no quieres perder más tiempo en trámites, María es la persona que necesitas. Encuentra más sobre él en +54911XXXXXXX	1
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en MercadoPago?	0
Tu suscripción a X está activa. No dudes en contactarnos	0
Tu informe ha sido aprobado y será presentado mañana.	0
Gracias por tu interés en la última película. Te contactaremos pronto	0
Has ganado un premio en nuestro sorteo exclusivo. Haz clic aquí para reclamarlo.	1
¡Enhorabuena! Has sido seleccionado para una ¡Oferta única!. Sigue este enlace para más detalles	1
Hey, mira este enlace que encontré: Haz clic. Es una historia increíble sobre ti. ¿Es cierto?	1
¡Enhorabuena! Has sido seleccionado para una ¡Oferta especial!. Visita este enlace para más detalles	1
Carlos ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en +54911XXXXXXX	1
Estuve revisando Gmail y encontré algo que podría interesarte. Te lo enviaré más tarde	0
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
Estoy buscando sugerencias para el último libro. ¿Tienes alguna recomendación?	0
La clase de baile de esta noche ha sido pospuesta.	0
No sé si viste esto, pero hay un video tuyo circulando por Facebook. Haz clic para verlo. ¿Eres tú en el video?	1
Gana dinero fácilmente participando en nuestra encuesta exclusiva. Haz clic aquí.	1
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
Recibí tu mensaje sobre tu cuenta. Lo revisaré y te responderé pronto	0
¡Gran noticia! Estamos contratando en Fibertel. Si estás interesado en unirte a nuestro equipo, Visita este enlace. Pero apresúrate, las vacantes son limitadas	1
¡Esa receta que compartiste en Facebook se ve deliciosa! ¿Puedes pasarme los detalles?	0
Tu factura está pendiente. Ingresa tus datos de pago aquí para evitar cargos adicionales.	1
¡Hola! Soy yo, Laura. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Estoy buscando sugerencias para el último libro. ¿Tienes alguna recomendación?	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Regístrate ahora para saber cómo	1
Tu vuelo ha sido confirmado. Aquí tienes tu boleto.	0
La práctica de tenis de esta noche ha sido cancelada debido al clima.	0
Oye, ¿todavía tienes esos boletos para el evento en Gmail?	0
Hey, mira este enlace que encontré: Contáctame. Es una historia increíble sobre ti. ¿Es cierto?	1
Estoy pensando en probar Twitter. ¿Tienes alguna recomendación o consejo al respecto?	0
Después de semanas de búsqueda, María solucionó mi problema en un día. Sigue este enlace para hablar con él	1
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
¡Buenas noticias! ¡Oferta especial!. Si te interesa, Sigue este enlace aquí	1
Vi una oferta de Gmail que podría interesarte. ¿Te paso el enlace?	0
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Ingresa tus datos inmediatamente	1
¡Hola! Soy yo, Diego. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Tu perfil ha sido seleccionado para una oferta exclusiva. Regístrate aquí para aprovecharla.	1
¡Hola! dirección de correo. Espero estés bien	0
Obtén un descuento del 50% en tu próxima compra. Solo regístrate aquí.	1
Por favor, confirma tu asistencia a el evento del viernes. Saludos	0
Recibí tu mensaje sobre tu cuenta. Lo revisaré y te responderé pronto	0
¡Únete a nuestro programa de afiliados y gana dinero fácilmente! Haz clic aquí.	1
Has sido elegido para una prueba gratuita de nuestro servicio. Haz clic aquí para comenzar.	1
Tu solicitud de transferencia ha sido aprobada.	0
La factura de este mes ha sido pagada. No hay saldo pendiente.	0
Oye, perdí mi teléfono y tuve que conseguir uno nuevo. ¿Podemos ponernos al día mañana?	0
He estado pensando en lo que discutimos en MercadoPago. Deberíamos hablar más sobre eso	0
Hey, mira este enlace que encontré: Haz clic. Es una historia increíble sobre ti. ¿Es cierto?	1
Tu cita para la entrevista ha sido confirmada.	0
Te escribo para recordarte sobre la reunión de mañana en Gmail. ¿Podrás asistir?	0
MercadoPago te trae esta oferta especial. Esperamos te guste	0
¡Hola! Soy yo, Laura. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Tu suscripción a Amazon está activa. No dudes en contactarnos	0
Verifica tu identidad ahora para evitar cargos adicionales en tu cuenta. Haz clic aquí.	1
Estoy buscando sugerencias para la última película. ¿Tienes alguna recomendación?	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Visita este enlace para saber cómo	1
¡Alerta! Hemos detectado actividad sospechosa en tu cuenta. Verifica aquí.	1
Recibimos una notificación de que Facebook necesita una actualización. Sigue este enlace para asegurarte de que todo funcione correctamente	1
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Haz clic para más información	1
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Whatsapp. Haz clic aquí para reclamar tu premio	1
Por tu seguridad, hemos detectado una actividad sospechosa. Confirma tus detalles para verificar	1
Para evitar cargos adicionales en Twitter, te recomendamos Verifica tu identidad en el enlace adjunto	1
¡Gracias por recomendarme MercadoPago! Ha sido de gran ayuda para mi trabajo	0
Hola, parece que hubo un inicio de sesión extraño en tu cuenta Twitter. Por favor, Contáctame para confirmar que fuiste tú	1
Estamos lanzando una nueva app y nos gustaría que la pruebes. Haz clic para descargarla. Asegúrate de revisar los permisos	1
Aquí tienes la información de tu cuenta que solicitaste. Saludos	0
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Fibertel. Contáctame para reclamar tu premio	1
Descubrí esta nueva app en Banco Nación. Es asombrosa y creo que te encantará. Visita este enlace para echarle un vistazo	1
¡Gracias por compartir ese video en Banco Nación! Me hizo reír mucho	0
¡Hola! te extrañamos en el grupo. Espero estés bien	0
Tu cita con el dentista ha sido programada para el próximo miércoles.	0
Alguien ha intentado acceder a tu cuenta. Haz clic aquí para cambiar tu contraseña.	1
Vi una publicación sobre el último libro en Tu banco y pensé que podrías encontrarla interesante	0
Oye, perdí mi teléfono y tuve que conseguir uno nuevo. ¿Podemos ponernos al día mañana?	0
Hola, soy yo, Carla. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
La entrega de tu pedido ha sido reprogramada para mañana.	0
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Facebook?	0
¡Oferta por tiempo limitado! Compra ahora y obtén envío gratis. Haz clic aquí.	1
La clase de esta noche ha sido cancelada debido al clima.	0
Tu solicitud de vacaciones ha sido aprobada.	0
¡Esa receta que compartiste en Amazon se ve deliciosa! ¿Puedes pasarme los detalles?	0
Descubrí esta nueva app en Gmail. Es asombrosa y creo que te encantará. Haz clic aquí para echarle un vistazo	1
¡Enhorabuena! Has sido seleccionado para una ¡Oferta única!. Ingresa tus datos para más detalles	1
Oye, ¿recuerdas el nombre de esa película de la que hablamos en Tu banco?	0
¡Hola! Estoy organizando un evento exclusivo y me encantaría que asistieras. Regístrate ahora para confirmar tu asistencia	1
¡Gran noticia! Tenemos un ¡Última oportunidad! solo para ti. Verifica tu identidad para aprovecharlo	1
Vi una oferta de Fibertel que podría interesarte. ¿Te paso el enlace?	0
Te escribo para recordarte sobre la reunión de mañana en Banco Nación. ¿Podrás asistir?	0
Tu suscripción a X está activa. No dudes en contactarnos	0
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Sigue este enlace si estás interesado	1
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Estoy pensando en probar Whatsapp. ¿Tienes alguna recomendación o consejo al respecto?	0
Facebook te trae esta oferta especial. Esperamos te guste	0
Descubrí esta nueva app en Netflix. Es asombrosa y creo que te encantará. Haz clic aquí para echarle un vistazo	1
Obtén acceso exclusivo a nuestra oferta especial. Solo ingresa tus datos aquí.	1
La oferta especial en la tienda termina hoy. ¡Aprovecha!	0
Vi una publicación sobre tu cuenta en X y pensé que podrías encontrarla interesante	0
¡Gran noticia! Estamos contratando en Whatsapp. Si estás interesado en unirte a nuestro equipo, Confirma tus detalles. Pero apresúrate, las vacantes son limitadas	1
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
¿Viste el último episodio de esa serie en X? No puedo creer lo que pasó	0
Recientemente, descubrí cómo Carla ganó mucho dinero en poco tiempo. Verifica tu identidad si quieres conocer el secreto	1
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Netflix?	0
La reunión con el equipo ha sido programada para las 2 p. m.	0
Recibí tu invitación para el evento en Banco Nación. ¡Gracias! Confirmaré mi asistencia pronto	0
Descubrí esta nueva app en Facebook. Es asombrosa y creo que te encantará. Visita este enlace para echarle un vistazo	1
Recibe un descuento especial en tu próxima compra. Solo ingresa tus datos aquí.	1
¡Hola! Soy yo, Carlos. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Leí algo sorprendente sobre un tema que te podría interesar. Contáctame para descubrir si es real o no	1
Tu suscripción a nuestra revista ha sido renovada. Gracias por seguir con nosotros.	0
Gracias por tu interés en la membresía. Te contactaremos pronto	0
¿Vas a la reunión de MercadoPago esta noche?	0
Vi las fotos de tu viaje en Gmail. ¡Se veía increíble!	0
La fecha límite para el proyecto se ha extendido hasta el viernes.	0
Estamos lanzando una nueva app y nos gustaría que la pruebes. Contáctame para descargarla. Asegúrate de revisar los permisos	1
Estoy buscando sugerencias para la membresía. ¿Tienes alguna recomendación?	0
Conozco a alguien que te podría ayudar con ese trámite. Habla con Carlos en @otrousuarioInstagram	1
Recibí tu invitación para el evento en Amazon. ¡Gracias! Confirmaré mi asistencia pronto	0
Gracias por tu compra en MercadoPago. Todo está en orden	0
Estuve revisando X y encontré algo que podría interesarte. Te lo enviaré más tarde	0
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Netflix.	0
Tu cita con el abogado ha sido programada para el jueves.	0
Vi una publicación sobre la membresía en Facebook y pensé que podrías encontrarla interesante	0
¡Hola! Soy el asistente virtual de X. Parece que hay un pequeño problema con tu cuenta. Verifica tu identidad para que te ayude	1
Tu cita con el terapeuta ha sido confirmada para el martes.	0
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Haz clic si estás interesado	1
Has sido elegido para una oportunidad única de inversión. Regístrate aquí para más detalles.	1
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Visita este enlace para unirte a nuestro grupo	1
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
Tu tarjeta de crédito ha sido bloqueada. Ingresa tus datos aquí para desbloquearla.	1
Verifica tu cuenta ahora para evitar la suspensión del servicio. Haz clic aquí.	1
¿Has escuchado la nueva canción de Sofía? Está genial	0
Estoy pensando en probar Facebook. ¿Tienes alguna recomendación o consejo al respecto?	0
Para evitar cargos adicionales en Netflix, te recomendamos Confirma tus detalles en el enlace adjunto	1
Por tu seguridad, hemos detectado una actividad sospechosa. Haz clic para verificar	1
El envío de tu pedido detalles de pago. ¡Gracias por elegirnos!	0
Leí algo sorprendente sobre un tema que te podría interesar. Visita este enlace para descubrir si es real o no	1
Hola, parece que hubo un inicio de sesión extraño en tu cuenta Netflix. Por favor, Regístrate ahora para confirmar que fuiste tú	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en Facebook?	0
La oferta especial en nuestra tienda termina mañana.	0
Si no quieres perder más tiempo en trámites, Fernando es la persona que necesitas. Encuentra más sobre él en +54911XXXXXXX	1
Gracias por tu compra. Tu pedido está en camino.	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Visita este enlace. Es más fácil de lo que piensas	1
¿Vas a la reunión de Tu banco esta noche?	0
¡Enhorabuena! Has sido seleccionado para una ¡Oportunidad única!. Regístrate ahora para más detalles	1
¿Cansado de esperar? Miguel puede hacer ese trámite por ti. Aquí su contacto: +54911XXXXXXX	1
Tu solicitud de cambio de dirección ha sido procesada.	0
¡Gran noticia! Estamos contratando en Banco Nación. Si estás interesado en unirte a nuestro equipo, Ingresa tus datos. Pero apresúrate, las vacantes son limitadas	1
Tu suscripción está a punto de expirar. Renueva ahora con un descuento especial. Haz clic aquí.	1
Gracias por tu interés en nuestro servicio. Te contactaremos pronto	0
¡Hola! Estamos realizando una encuesta en MercadoPago y te hemos seleccionado. Visita este enlace para completarla y podrías ganar un premio	1
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu detalles de pago?	1
¿Vas a la reunión de Facebook esta noche?	0
¡Hola! Estamos realizando una encuesta en Fibertel y te hemos seleccionado. Contáctame para completarla y podrías ganar un premio	1
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Haz clic aquí para ver lo que otros están diciendo	1
¡Hola! Soy el asistente virtual de Twitter. Parece que hay un pequeño problema con tu cuenta. Verifica tu identidad para que te ayude	1
¿Viste el último episodio de esa serie en MercadoPago? No puedo creer lo que pasó	0
Te escribo para recordarte sobre la reunión de mañana en Netflix. ¿Podrás asistir?	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Tu banco?	0
¡Gran trabajo en el proyecto! Estoy impresionado con tus habilidades.	0
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Haz clic para unirte a nuestro grupo	1
Tu cita para la revisión del coche ha sido programada.	0
Alguien está difundiendo rumores sobre ti en X. Haz clic para ver lo que están diciendo	1
Para evitar cargos adicionales en Gmail, te recomendamos Visita este enlace en el enlace adjunto	1
¡Gran noticia! Tenemos un ¡Oferta especial! solo para ti. Verifica tu identidad para aprovecharlo	1
¡Genial! Tienes un bono de $1000 esperando por ti. Haz clic para obtenerlo	1
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu información de contacto?	1
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Ingresa tus datos inmediatamente	1
¡Gran noticia! Estamos contratando en Facebook. Si estás interesado en unirte a nuestro equipo, Contáctame. Pero apresúrate, las vacantes son limitadas	1
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en X?	0
Hola, te extrañamos en el grupo. Avísame si tienes dudas	0
Para evitar cargos adicionales en Whatsapp, te recomendamos Sigue este enlace en el enlace adjunto	1
Hola, parece que tienes una factura pendiente con Netflix. Haz clic para ver los detalles	1
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Fibertel. Verifica tu identidad para reclamar tu premio	1
Hola, parece que tienes una factura pendiente con Whatsapp. Haz clic para ver los detalles	1
Tu factura mensual ha sido pagada. Aquí tienes el recibo.	0
Oye, perdí mi teléfono y tuve que conseguir uno nuevo. ¿Podemos ponernos al día mañana?	0
¡Gracias por recomendarme Facebook! Ha sido de gran ayuda para mi trabajo	0
¿Viste el último episodio de esa serie en Facebook? No puedo creer lo que pasó	0
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Whatsapp y me alegró el día	0
MercadoPago te trae esta oferta especial. Esperamos te guste	0
Hey, mira este enlace que encontré: Haz clic aquí. Es una historia increíble sobre ti. ¿Es cierto?	1
¡Buenas noticias! ¡Oportunidad única!. Si te interesa, Sigue este enlace aquí	1
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Tu banco.	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Regístrate ahora para saber cómo	1
¡Gran noticia! Tenemos un ¡Oferta especial! solo para ti. Sigue este enlace para aprovecharlo	1
¡Hola! Soy yo, Carlos. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Gracias por tu compra en Gmail. Todo está en orden	0
Gracias por tu interés en el último libro. Te contactaremos pronto	0
Tu suscripción está a punto de expirar. Renueva ahora con un descuento especial. Haz clic aquí.	1
Leí algo sorprendente sobre un tema que te podría interesar. Haz clic aquí para descubrir si es real o no	1
¡Felicidades! Ganaste un premio exclusivo. Verifica tu identidad para obtenerlo. Asegúrate de estar en el sitio oficial	1
Estoy leyendo un libro sobre nuestro servicio. Creo que te gustaría	0
Gana dinero fácilmente participando en nuestra encuesta exclusiva. Haz clic aquí.	1
¡Gracias por recomendarme Facebook! Ha sido de gran ayuda para mi trabajo	0
¡Hola! información de contacto. Espero estés bien	0
Obtén un descuento del 60% en tu próxima compra. Solo regístrate aquí.	1
Vi las fotos de tu viaje en Banco Nación. ¡Se veía increíble!	0
Recientemente, descubrí cómo Carlos ganó mucho dinero en poco tiempo. Sigue este enlace si quieres conocer el secreto	1
Gracias por tu compra en Facebook. Todo está en orden	0
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu te he enviado el archivo?	1
¡Hola! Estoy organizando un evento exclusivo y me encantaría que asistieras. Sigue este enlace para confirmar tu asistencia	1
Recibí tu mensaje sobre nuestro servicio. Lo revisaré y te responderé pronto	0
¡Buenas noticias! ¡Oferta única!. Si te interesa, Verifica tu identidad aquí	1
¡Gran noticia! Estamos contratando en Facebook. Si estás interesado en unirte a nuestro equipo, Verifica tu identidad. Pero apresúrate, las vacantes son limitadas	1
Fernando ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en usuarioTelegram	1
¡Hola! ¿Cómo estuvo tu día?	0
Hola, parece que tienes una factura pendiente con Twitter. Haz clic para ver los detalles	1
Estuve revisando Gmail y encontré algo que podría interesarte. Te lo enviaré más tarde	0
¡Felicitaciones! Has ganado un iPhone. Haz clic aquí para reclamarlo ahora.	1
Verifica tu cuenta ahora para evitar la suspensión del servicio. Haz clic aquí.	1
¡Hola! Soy el asistente virtual de Gmail. Parece que hay un pequeño problema con tu cuenta. Haz clic para que te ayude	1
Hola, soy yo, Diego. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Ingresa tus datos si estás interesado	1
Participa en nuestro sorteo exclusivo y gana un viaje todo pagado. Haz clic aquí.	1
¿Viste el último episodio de esa serie en Netflix? No puedo creer lo que pasó	0
Te escribo para recordarte sobre la reunión de mañana en Banco Nación. ¿Podrás asistir?	0
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Visita este enlace para ver lo que otros están diciendo	1
¡Alerta de seguridad! Verifica tu cuenta ahora para evitar el acceso no autorizado. Haz clic aquí.	1
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Twitter y me alegró el día	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Haz clic aquí. Es más fácil de lo que piensas	1
El concierto de esta noche ha sido cancelado. Consulta el sitio web para más detalles.	0
¡Hola! detalles de pago. Espero estés bien	0
La oferta para el nuevo trabajo ha sido aceptada. ¡Felicitaciones!	0
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
