message	phishing
El envío de tu pedido te extrañamos en el grupo. ¡Gracias por elegirnos!	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Contáctame para saber cómo	1
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Vi una oferta de Whatsapp que podría interesarte. ¿Te paso el enlace?	0
¡Hola! Estamos realizando una encuesta en Banco Nación y te hemos seleccionado. Confirma tus detalles para completarla y podrías ganar un premio	1
Alguien está difundiendo rumores sobre ti en Twitter. Verifica tu identidad para ver lo que están diciendo	1
¡Gran noticia! Estamos contratando en Twitter. Si estás interesado en unirte a nuestro equipo, Contáctame. Pero apresúrate, las vacantes son limitadas	1
Conozco a alguien que te podría ayudar con ese trámite. Habla con Juan en usuarioTelegram	1
No sé si viste esto, pero hay un video tuyo circulando por Twitter. Visita este enlace para verlo. ¿Eres tú en el video?	1
¡Genial! Tienes un bono de un iPhone esperando por ti. Regístrate ahora para obtenerlo	1
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
¡Enhorabuena! Has sido seleccionado para una ¡Oportunidad única!. Haz clic aquí para más detalles	1
¡Enhorabuena! Has sido seleccionado para una ¡Oferta especial!. Ingresa tus datos para más detalles	1
¡Gracias por recomendarme Banco Nación! Ha sido de gran ayuda para mi trabajo	0
¡Gracias por compartir ese video en Facebook! Me hizo reír mucho	0
Por tu seguridad, hemos detectado una actividad sospechosa. Haz clic aquí para verificar	1
¡Hola! ¿Cómo estuvo tu día?	0
Gracias por tu interés en el último libro. Te contactaremos pronto	0
¡Enhorabuena! Has sido seleccionado para una ¡Última oportunidad!. Regístrate ahora para más detalles	1
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Twitter.	0
Estoy pensando en probar Fibertel. ¿Tienes alguna recomendación o consejo al respecto?	0
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
María ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en @otrousuarioInstagram	1
Hace mucho que no nos vemos. ¿Te gustaría salir a tomar algo esta semana?	0
¡Gracias por compartir ese video en Facebook! Me hizo reír mucho	0
Por favor, confirma tu asistencia a la reunión de mañana. Saludos	0
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu detalles de pago?	1
¿Viste el último episodio de esa serie en Twitter? No puedo creer lo que pasó	0
¡Gracias por recomendarme Tu banco! Ha sido de gran ayuda para mi trabajo	0
Estoy leyendo un libro sobre nuestro servicio. Creo que te gustaría	0
¡Hola! ¿Cómo estuvo tu día?	0
Vi una publicación sobre la última película en Whatsapp y pensé que podrías encontrarla interesante	0
El envío de tu pedido detalles de pago. ¡Gracias por elegirnos!	0
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Netflix y me alegró el día	0
Vi una oferta de Facebook que podría interesarte. ¿Te paso el enlace?	0
¡Gracias por compartir ese video en Banco Nación! Me hizo reír mucho	0
¡Gran noticia! Tenemos un ¡Oferta especial! solo para ti. Ingresa tus datos para aprovecharlo	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Haz clic aquí inmediatamente	1
Gracias por tu interés en la última película. Te contactaremos pronto	0
¡Hola! Estoy organizando un evento exclusivo y me encantaría que asistieras. Regístrate ahora para confirmar tu asistencia	1
Tu suscripción a X está activa. No dudes en contactarnos	0
Amazon te trae esta oferta especial. Esperamos te guste	0
Estoy buscando sugerencias para tu cuenta. ¿Tienes alguna recomendación?	0
Hola, parece que hubo un inicio de sesión extraño en tu cuenta MercadoPago. Por favor, Regístrate ahora para confirmar que fuiste tú	1
No sé si viste esto, pero hay un video tuyo circulando por X. Regístrate ahora para verlo. ¿Eres tú en el video?	1
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Regístrate ahora para unirte a nuestro grupo	1
Para evitar cargos adicionales en Twitter, te recomendamos Haz clic en el enlace adjunto	1
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Whatsapp.	0
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Contáctame inmediatamente	1
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en MercadoPago y me alegró el día	0
¡Genial! Tienes un bono de un viaje todo pagado esperando por ti. Haz clic para obtenerlo	1
¡Genial! Tienes un bono de $1000 esperando por ti. Verifica tu identidad para obtenerlo	1
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
¡Gracias por recomendarme Facebook! Ha sido de gran ayuda para mi trabajo	0
Recibí tu mensaje sobre el último libro. Lo revisaré y te responderé pronto	0
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Sigue este enlace si estás interesado	1
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Contáctame si estás interesado	1
Gracias por tu interés en el último libro. Te contactaremos pronto	0
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Ingresa tus datos si estás interesado	1
Para evitar cargos adicionales en MercadoPago, te recomendamos Regístrate ahora en el enlace adjunto	1
Para evitar cargos adicionales en X, te recomendamos Visita este enlace en el enlace adjunto	1
Si estás buscando una inversión segura con buenos retornos, esta es tu oportunidad. Haz clic para más información	1
Estuve revisando Banco Nación y encontré algo que podría interesarte. Te lo enviaré más tarde	0
Hey, mira este enlace que encontré: Haz clic aquí. Es una historia increíble sobre ti. ¿Es cierto?	1
No sé si viste esto, pero hay un video tuyo circulando por Banco Nación. Ingresa tus datos para verlo. ¿Eres tú en el video?	1
Después de semanas de búsqueda, Miguel solucionó mi problema en un día. Contáctame para hablar con él	1
¡Hola! Soy yo, Diego. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Por favor, confirma tu asistencia a la reunión de mañana. Saludos	0
¡Gran noticia! Estamos contratando en Amazon. Si estás interesado en unirte a nuestro equipo, Regístrate ahora. Pero apresúrate, las vacantes son limitadas	1
¡Felicidades! Ganaste un premio exclusivo. Haz clic aquí para obtenerlo. Asegúrate de estar en el sitio oficial	1
Estuve revisando Amazon y encontré algo que podría interesarte. Te lo enviaré más tarde	0
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Tu banco. Visita este enlace para reclamar tu premio	1
¡Gracias por compartir ese video en MercadoPago! Me hizo reír mucho	0
Oye, ¿recuerdas el nombre de esa película de la que hablamos en Whatsapp?	0
Estoy pensando en probar Twitter. ¿Tienes alguna recomendación o consejo al respecto?	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Contáctame. Es más fácil de lo que piensas	1
¡Buenas noticias! ¡Oportunidad única!. Si te interesa, Verifica tu identidad aquí	1
Recibimos una notificación de que MercadoPago necesita una actualización. Verifica tu identidad para asegurarte de que todo funcione correctamente	1
He estado pensando en lo que discutimos en Whatsapp. Deberíamos hablar más sobre eso	0
Hola, un amigo en común mencionó que podrías ayudarme. ¿Me podrías dar tu te he enviado el archivo?	1
Vi una publicación sobre el último libro en Tu banco y pensé que podrías encontrarla interesante	0
Recibí tu mensaje sobre la membresía. Lo revisaré y te responderé pronto	0
¡Gran noticia! Tenemos un ¡Última oportunidad! solo para ti. Ingresa tus datos para aprovecharlo	1
Hola, detalles de pago. Avísame si tienes dudas	0
Para evitar cargos adicionales en Banco Nación, te recomendamos Haz clic en el enlace adjunto	1
Recibí tu mensaje sobre la membresía. Lo revisaré y te responderé pronto	0
Hace mucho que no nos vemos. ¿Te gustaría salir a tomar algo esta semana?	0
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en X?	0
Descubrí esta nueva app en Banco Nación. Es asombrosa y creo que te encantará. Ingresa tus datos para echarle un vistazo	1
Estoy pensando en probar Whatsapp. ¿Tienes alguna recomendación o consejo al respecto?	0
Gracias por tu interés en la última película. Te contactaremos pronto	0
Estoy buscando sugerencias para la membresía. ¿Tienes alguna recomendación?	0
Hola, parece que tienes una factura pendiente con Amazon. Regístrate ahora para ver los detalles	1
Hola, hemos notado algo extraño en tu cuenta de Netflix. ¿Fuiste tú? Si no, Ingresa tus datos para protegerte	1
¡Hola! Soy el asistente virtual de Twitter. Parece que hay un pequeño problema con tu cuenta. Regístrate ahora para que te ayude	1
Recientemente, descubrí cómo Sofía ganó mucho dinero en poco tiempo. Sigue este enlace si quieres conocer el secreto	1
¡Hola! Soy yo, Fernando. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
¿Vas a la reunión de Amazon esta noche?	0
¡Hola! Soy yo, Fernando. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Sólo quería decirte que estuve pensando en ti. Espero que estemos en contacto pronto	0
Descubrí esta nueva app en Tu banco. Es asombrosa y creo que te encantará. Confirma tus detalles para echarle un vistazo	1
Recientemente, descubrí cómo Carla ganó mucho dinero en poco tiempo. Verifica tu identidad si quieres conocer el secreto	1
Vi las fotos de tu viaje en Amazon. ¡Se veía increíble!	0
Estoy pensando en probar Whatsapp. ¿Tienes alguna recomendación o consejo al respecto?	0
Por tu seguridad, hemos detectado una actividad sospechosa. Ingresa tus datos para verificar	1
Recibí tu invitación para el evento en Amazon. ¡Gracias! Confirmaré mi asistencia pronto	0
El envío de tu pedido te he enviado el archivo. ¡Gracias por elegirnos!	0
Twitter te trae esta oferta especial. Esperamos te guste	0
Por favor, confirma tu asistencia a la conferencia online. Saludos	0
Hola, parece que tienes una factura pendiente con Netflix. Haz clic para ver los detalles	1
Facebook te trae esta oferta especial. Esperamos te guste	0
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Whatsapp. Haz clic para reclamar tu premio	1
Estuve revisando MercadoPago y encontré algo que podría interesarte. Te lo enviaré más tarde	0
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Facebook?	0
Tengo algunas recomendaciones de el último libro que te podrían interesar. ¿Te las envío?	0
Hola, soy yo, Carla. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
¿Has escuchado la nueva canción de Diego? Está genial	0
Netflix te trae esta oferta especial. Esperamos te guste	0
¡Gracias por recomendarme Twitter! Ha sido de gran ayuda para mi trabajo	0
¿Vas a la reunión de Banco Nación esta noche?	0
Estuve revisando Whatsapp y encontré algo que podría interesarte. Te lo enviaré más tarde	0
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
¡Buenas noticias! ¡Oportunidad única!. Si te interesa, Haz clic aquí aquí	1
Oye, ¿recuerdas el nombre de esa película de la que hablamos en Amazon?	0
Estoy leyendo un libro sobre tu cuenta. Creo que te gustaría	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Regístrate ahora para saber cómo	1
No sé si viste esto, pero hay un video tuyo circulando por Facebook. Contáctame para verlo. ¿Eres tú en el video?	1
¡Gran noticia! Estamos contratando en Twitter. Si estás interesado en unirte a nuestro equipo, Contáctame. Pero apresúrate, las vacantes son limitadas	1
¡Gracias por recomendarme MercadoPago! Ha sido de gran ayuda para mi trabajo	0
Gracias por tu compra en Netflix. Todo está en orden	0
¡Buenas noticias! ¡Oportunidad única!. Si te interesa, Visita este enlace aquí	1
Oye, ¿recuerdas el nombre de esa película de la que hablamos en Tu banco?	0
¡Hola! te he enviado el archivo. Espero estés bien	0
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Banco Nación y me alegró el día	0
Lucía ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en @usuarioTwitter	1
¡Gran noticia! Estamos contratando en Fibertel. Si estás interesado en unirte a nuestro equipo, Haz clic. Pero apresúrate, las vacantes son limitadas	1
Hace mucho que no nos vemos. ¿Te gustaría salir a tomar algo esta semana?	0
He estado pensando en lo que discutimos en Facebook. Deberíamos hablar más sobre eso	0
¡Gracias por recomendarme Gmail! Ha sido de gran ayuda para mi trabajo	0
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
¡Hola! Estamos realizando una encuesta en MercadoPago y te hemos seleccionado. Confirma tus detalles para completarla y podrías ganar un premio	1
¿Vas a la reunión de Netflix esta noche?	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Gmail?	0
Hey, mira este enlace que encontré: Sigue este enlace. Es una historia increíble sobre ti. ¿Es cierto?	1
Vi las fotos de tu viaje en Twitter. ¡Se veía increíble!	0
Para evitar cargos adicionales en X, te recomendamos Confirma tus detalles en el enlace adjunto	1
¿Cansado de esperar? María puede hacer ese trámite por ti. Aquí su contacto: @otrousuarioInstagram	1
¡Esa receta que compartiste en Facebook se ve deliciosa! ¿Puedes pasarme los detalles?	0
Miguel ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en @usuarioTwitter	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
Descubrí esta nueva app en Facebook. Es asombrosa y creo que te encantará. Confirma tus detalles para echarle un vistazo	1
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Whatsapp.	0
Hola, soy yo, Laura. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
María ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en usuarioTelegram	1
Conozco a alguien que te podría ayudar con ese trámite. Habla con María en +54911XXXXXXX	1
¿Viste el último episodio de esa serie en Facebook? No puedo creer lo que pasó	0
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Verifica tu identidad para ver lo que otros están diciendo	1
Recibí tu invitación para el evento en Fibertel. ¡Gracias! Confirmaré mi asistencia pronto	0
Recibimos una notificación de que Fibertel necesita una actualización. Confirma tus detalles para asegurarte de que todo funcione correctamente	1
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
Vi las fotos de tu viaje en X. ¡Se veía increíble!	0
Recibí tu mensaje sobre tu cuenta. Lo revisaré y te responderé pronto	0
Gracias por tu compra en Netflix. Todo está en orden	0
¿Has escuchado la nueva canción de Lucía? Está genial	0
Sólo quería agradecerte por tu ayuda el otro día. Realmente aprecio tu apoyo	0
Hola, recibimos una solicitud para cambiar tu contraseña. Si no solicitaste esto, Visita este enlace inmediatamente	1
Hey, mira este enlace que encontré: Haz clic aquí. Es una historia increíble sobre ti. ¿Es cierto?	1
¿Has escuchado la nueva canción de Miguel? Está genial	0
¡Enhorabuena! Has sido seleccionado para una ¡Oportunidad única!. Regístrate ahora para más detalles	1
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Gmail?	0
Hola, la reunión se ha reprogramado. Avísame si tienes dudas	0
No sé si viste esto, pero hay un video tuyo circulando por MercadoPago. Verifica tu identidad para verlo. ¿Eres tú en el video?	1
Vi una publicación sobre tu cuenta en Fibertel y pensé que podrías encontrarla interesante	0
Tu suscripción a Facebook está activa. No dudes en contactarnos	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Tu banco?	0
Estoy buscando sugerencias para la membresía. ¿Tienes alguna recomendación?	0
Vi una publicación sobre el último libro en Gmail y pensé que podrías encontrarla interesante	0
¿Quieres destacar más? Por un pequeño pago, podemos mejorar tu perfil. Visita este enlace si estás interesado	1
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Facebook. Contáctame para reclamar tu premio	1
Estoy buscando un buen lugar para cenar en la ciudad. ¿Conoces algún lugar en Gmail?	0
¡Gran noticia! Tenemos un ¡Oportunidad única! solo para ti. Sigue este enlace para aprovecharlo	1
He estado pensando en lo que discutimos en Gmail. Deberíamos hablar más sobre eso	0
Desde que descubrí este negocio, mi vida cambió. Confirma tus detalles si quieres saber más	1
¡Esa receta que compartiste en Whatsapp se ve deliciosa! ¿Puedes pasarme los detalles?	0
Alguien está difundiendo rumores sobre ti en Amazon. Contáctame para ver lo que están diciendo	1
¿Has escuchado la nueva canción de Fernando? Está genial	0
Después de semanas de búsqueda, Juan solucionó mi problema en un día. Sigue este enlace para hablar con él	1
¡Enhorabuena! Has sido seleccionado para una ¡Oferta especial!. Verifica tu identidad para más detalles	1
Vi una publicación sobre la última película en Fibertel y pensé que podrías encontrarla interesante	0
Conozco a alguien que te podría ayudar con ese trámite. Habla con Lucía en usuarioTelegram	1
Hola, parece que hubo un inicio de sesión extraño en tu cuenta Whatsapp. Por favor, Regístrate ahora para confirmar que fuiste tú	1
Leí algo sorprendente sobre un tema que te podría interesar. Verifica tu identidad para descubrir si es real o no	1
Para evitar cargos adicionales en Amazon, te recomendamos Regístrate ahora en el enlace adjunto	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
Recuerda enviar esos documentos para la próxima reunión en MercadoPago. ¡Gracias!	0
Hola, soy yo, María. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
Netflix te trae esta oferta especial. Esperamos te guste	0
Conozco a alguien que te podría ayudar con ese trámite. Habla con Miguel en @usuarioTwitter	1
Hola, parece que tienes una factura pendiente con Facebook. Visita este enlace para ver los detalles	1
Si no quieres perder más tiempo en trámites, María es la persona que necesitas. Encuentra más sobre él en +54911XXXXXXX	1
Si no quieres perder más tiempo en trámites, Diego es la persona que necesitas. Encuentra más sobre él en usuarioTelegram	1
Por tu seguridad, hemos detectado una actividad sospechosa. Confirma tus detalles para verificar	1
Facebook te trae esta oferta especial. Esperamos te guste	0
Miguel ha sido una gran ayuda para mí. Si tienes problemas, contáctalo directamente en @otrousuarioInstagram	1
Vi una oferta de Netflix que podría interesarte. ¿Te paso el enlace?	0
¡Gracias por recomendarme Tu banco! Ha sido de gran ayuda para mi trabajo	0
Descubrí esta nueva app en Amazon. Es asombrosa y creo que te encantará. Ingresa tus datos para echarle un vistazo	1
Conozco a alguien que te podría ayudar con ese trámite. Habla con María en @usuarioTwitter	1
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en MercadoPago y me alegró el día	0
¡Hola! número de teléfono. Espero estés bien	0
¿Cansado de esperar? Juan puede hacer ese trámite por ti. Aquí su contacto: +54911XXXXXXX	1
Te escribo para recordarte sobre la reunión de mañana en Fibertel. ¿Podrás asistir?	0
¡Buenas noticias! ¡Oferta única!. Si te interesa, Verifica tu identidad aquí	1
¿Viste el último episodio de esa serie en Fibertel? No puedo creer lo que pasó	0
¿Cómo está tu familia? Hace tiempo que no veo fotos de ellos en Facebook.	0
¡Hola! Soy el asistente virtual de Fibertel. Parece que hay un pequeño problema con tu cuenta. Contáctame para que te ayude	1
Vi las fotos de tu viaje en X. ¡Se veía increíble!	0
Para evitar cargos adicionales en Banco Nación, te recomendamos Confirma tus detalles en el enlace adjunto	1
Estoy un poco ocupado ahora. ¿Puedo escribirte más tarde?	0
Estamos lanzando una nueva app y nos gustaría que la pruebes. Haz clic para descargarla. Asegúrate de revisar los permisos	1
Tu suscripción a Tu banco está activa. No dudes en contactarnos	0
¿Cansado de esperar? Laura puede hacer ese trámite por ti. Aquí su contacto: @usuarioTwitter	1
Hey, mira este enlace que encontré: Visita este enlace. Es una historia increíble sobre ti. ¿Es cierto?	1
¡Hola! Soy el asistente virtual de Facebook. Parece que hay un pequeño problema con tu cuenta. Verifica tu identidad para que te ayude	1
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Haz clic para ver lo que otros están diciendo	1
He tenido una semana ocupada con el trabajo. Pero vi tu mensaje en Whatsapp y me alegró el día	0
Descubrí esta nueva app en Facebook. Es asombrosa y creo que te encantará. Regístrate ahora para echarle un vistazo	1
Conozco a alguien que te podría ayudar con ese trámite. Habla con María en +54911XXXXXXX	1
Hola, información de contacto. Avísame si tienes dudas	0
Hola, soy yo, María. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
Gracias por tu interés en el último libro. Te contactaremos pronto	0
Hola, parece que hubo un inicio de sesión extraño en tu cuenta Gmail. Por favor, Regístrate ahora para confirmar que fuiste tú	1
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Haz clic para saber cómo	1
No sé si viste esto, pero hay un video tuyo circulando por MercadoPago. Ingresa tus datos para verlo. ¿Eres tú en el video?	1
Recibimos una notificación de que Tu banco necesita una actualización. Verifica tu identidad para asegurarte de que todo funcione correctamente	1
¡Hola! tu pedido está en camino. Espero estés bien	0
¡Hola! Soy yo, Lucía. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Netflix te trae esta oferta especial. Esperamos te guste	0
Por tu seguridad, hemos detectado una actividad sospechosa. Regístrate ahora para verificar	1
Aquí tienes la información de tu cuenta que solicitaste. Saludos	0
No sé si viste esto, pero hay un video tuyo circulando por Facebook. Ingresa tus datos para verlo. ¿Eres tú en el video?	1
Alguien está difundiendo rumores sobre ti en Facebook. Haz clic para ver lo que están diciendo	1
Recibimos una notificación de que Amazon necesita una actualización. Sigue este enlace para asegurarte de que todo funcione correctamente	1
¿Has escuchado la nueva canción de Diego? Está genial	0
¡Esa receta que compartiste en Fibertel se ve deliciosa! ¿Puedes pasarme los detalles?	0
¡Felicidades! Ganaste un premio exclusivo. Confirma tus detalles para obtenerlo. Asegúrate de estar en el sitio oficial	1
¿Viste el último episodio de esa serie en Fibertel? No puedo creer lo que pasó	0
Estoy organizando un pequeño evento este fin de semana. Sería genial si pudieras unirte	0
¡Gran noticia! Estamos contratando en Gmail. Si estás interesado en unirte a nuestro equipo, Visita este enlace. Pero apresúrate, las vacantes son limitadas	1
¡Hola! Soy yo, Lucía. He creado una nueva cuenta, la anterior fue hackeada. ¿Puedes ayudarme con un pequeño favor?	1
Hola, hemos notado algo extraño en tu cuenta de Netflix. ¿Fuiste tú? Si no, Haz clic aquí para protegerte	1
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Gmail?	0
Leí algo sorprendente sobre un tema que te podría interesar. Contáctame para descubrir si es real o no	1
Hola, parece que tienes una factura pendiente con X. Visita este enlace para ver los detalles	1
¡Enhorabuena! Has sido seleccionado para una ¡Última oportunidad!. Verifica tu identidad para más detalles	1
¡Hola! Hace tiempo que no hablamos. ¿Cómo has estado?	0
Leí algo sorprendente sobre un tema que te podría interesar. Contáctame para descubrir si es real o no	1
Recibí tu invitación para el evento en Fibertel. ¡Gracias! Confirmaré mi asistencia pronto	0
Hola, información de contacto. Avísame si tienes dudas	0
Tu suscripción a Banco Nación está activa. No dudes en contactarnos	0
Desde que descubrí este negocio, mi vida cambió. Confirma tus detalles si quieres saber más	1
Hola, soy yo, Diego. Me encuentro en una situación complicada durante mis vacaciones y necesito tu ayuda. ¿Puedes enviarme algo de dinero?	1
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Esta publicación ha sido muy popular, pero hay comentarios mixtos. Contáctame para ver lo que otros están diciendo	1
Gracias por tu interés en la última película. Te contactaremos pronto	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Whatsapp?	0
Descubrí esta nueva app en Twitter. Es asombrosa y creo que te encantará. Haz clic para echarle un vistazo	1
¡Hola! Estamos realizando una encuesta en Amazon y te hemos seleccionado. Visita este enlace para completarla y podrías ganar un premio	1
Espero que estés bien. Me gustaría ponernos al día pronto. ¿Qué te parece si nos encontramos en Gmail?	0
¡Feliz cumpleaños! Espero que estés pasando un día maravilloso. Nos vemos pronto	0
Si quieres saber cómo algunos están multiplicando sus ingresos, Contáctame. Es más fácil de lo que piensas	1
Oye, ¿todavía tienes esos boletos para el evento en Banco Nación?	0
Estoy leyendo un libro sobre nuestro servicio. Creo que te gustaría	0
Si no quieres perder más tiempo en trámites, Carlos es la persona que necesitas. Encuentra más sobre él en +54911XXXXXXX	1
Descubre cómo las criptomonedas están cambiando la forma de ganar dinero. Haz clic aquí para unirte a nuestro grupo	1
¡Gracias por recomendarme Netflix! Ha sido de gran ayuda para mi trabajo	0
Estoy leyendo un libro sobre la última película. Creo que te gustaría	0
Para evitar cargos adicionales en Facebook, te recomendamos Regístrate ahora en el enlace adjunto	1
Estoy leyendo un libro sobre la última película. Creo que te gustaría	0
Facebook te trae esta oferta especial. Esperamos te guste	0
¿Te gustaría ganar dinero sin mucho esfuerzo? Tenemos una oportunidad única para ti. Visita este enlace para saber cómo	1
Recientemente, descubrí cómo Fernando ganó mucho dinero en poco tiempo. Visita este enlace si quieres conocer el secreto	1
¡Enhorabuena! Has sido seleccionado para nuestro sorteo exclusivo en Amazon. Sigue este enlace para reclamar tu premio	1
¡Gran noticia! Tenemos un ¡Oportunidad única! solo para ti. Sigue este enlace para aprovecharlo	1
Te escribo para recordarte sobre la reunión de mañana en MercadoPago. ¿Podrás asistir?	0
Hola, parece que tienes una factura pendiente con Twitter. Regístrate ahora para ver los detalles	1
El envío de tu pedido te extrañamos en el grupo. ¡Gracias por elegirnos!	0
¡Esa receta que compartiste en MercadoPago se ve deliciosa! ¿Puedes pasarme los detalles?	0
He estado pensando en lo que discutimos en Twitter. Deberíamos hablar más sobre eso	0
Hola, ¿puedes enviarme ese archivo que discutimos en la última reunión en Fibertel?	0
¡Gracias por recomendarme Netflix! Ha sido de gran ayuda para mi trabajo	0
¡Gran noticia! Tenemos un ¡Oferta especial! solo para ti. Haz clic aquí para aprovecharlo	1
